CASEID,cexabu,cexphys,cexsex,cex_070a,cex_070b,cex_070c,cex_080,mshsd,msper,msvic,agegr10,luc_rst,prv,region,sex
26279,7,7,7,6,6,6,7,994,994,994,3,1,"35",3,1
26280,3,2,1,2,2,1,1,994,994,994,6,1,"35",3,1
26281,1,1,1,6,6,6,1,994,994,994,6,1,"24",2,2
26282,1,1,1,6,6,6,1,994,304,304,2,2,"10",1,1
26283,1,1,1,6,6,6,1,994,994,994,5,1,"24",2,1
26284,1,1,1,6,6,6,1,994,994,994,3,1,"24",2,2
26285,1,1,1,6,6,6,2,994,994,994,1,1,"35",3,2
26286,1,1,1,6,6,6,1,994,994,994,6,3,"11",1,1
26287,2,2,2,2,2,1,5,994,994,994,4,2,"59",5,2
26288,1,1,1,6,6,6,1,994,994,994,7,1,"47",4,1
26289,3,2,1,2,2,1,1,994,994,994,6,1,"35",3,1
26290,1,1,1,6,6,6,1,994,994,994,7,2,"46",4,2
26291,1,1,1,6,6,6,1,994,994,994,2,1,"10",1,1
26292,7,7,1,6,6,6,1,994,994,994,1,1,"48",4,1
26293,7,7,1,6,6,6,7,994,994,994,4,1,"59",5,1
26294,1,1,1,6,6,6,1,994,994,994,5,1,"35",3,1
26295,1,1,1,6,6,6,1,994,994,994,7,2,"47",4,2
26296,3,2,1,2,2,1,1,994,994,994,3,1,"24",2,1
26297,1,1,1,6,6,6,1,508,994,508,4,1,"12",1,1
26298,3,1,2,2,2,1,1,994,994,994,6,1,"47",4,2
26299,1,1,1,6,6,6,1,508,994,508,6,1,"10",1,2
26300,2,2,2,2,2,1,1,994,609,609,4,1,"59",5,2
26301,1,1,1,6,6,6,1,994,994,994,4,1,"35",3,1
26302,3,2,1,2,2,1,1,994,609,609,5,1,"10",1,2
26303,1,1,1,6,6,6,1,994,994,994,5,1,"35",3,1
26304,1,1,1,6,6,6,1,994,994,994,3,1,"35",3,2
26305,3,2,1,2,2,1,2,994,994,994,3,1,"35",3,2
26306,1,1,1,6,6,6,1,507,994,507,3,1,"47",4,2
26307,3,2,1,2,2,1,1,813,994,813,5,1,"10",1,1
26308,1,1,1,6,6,6,1,994,994,994,6,1,"12",1,1
26309,8,1,8,6,6,6,2,994,994,994,4,1,"13",1,2
26310,3,2,1,2,2,1,1,994,994,994,5,1,"12",1,1
26311,1,1,1,6,6,6,2,994,994,994,7,1,"35",3,1
26312,1,1,1,6,6,6,1,994,994,994,2,1,"24",2,2
26313,1,1,1,6,6,6,1,994,994,994,3,1,"24",2,2
26314,2,2,2,2,2,1,4,994,994,994,5,2,"35",3,2
26315,1,1,1,6,6,6,1,711,994,711,5,1,"46",4,1
26316,3,2,1,2,2,1,1,994,994,994,5,1,"35",3,1
26317,1,1,1,6,6,6,1,711,994,711,6,1,"35",3,2
26318,1,1,1,6,6,6,1,994,994,994,4,1,"12",1,1
26319,1,1,1,6,6,6,1,994,994,994,6,1,"59",5,1
26320,1,1,1,6,6,6,1,994,994,994,6,1,"48",4,1
26321,3,2,1,2,2,1,1,994,994,994,3,1,"35",3,1
26322,1,1,1,6,6,6,1,994,994,994,6,1,"35",3,2
26323,3,2,1,2,2,1,1,994,304,304,5,1,"13",1,1
26324,1,1,1,6,6,6,1,994,994,994,6,2,"47",4,1
26325,1,1,1,6,6,6,1,994,994,994,2,1,"24",2,1
26326,3,2,1,2,2,1,1,994,994,994,5,1,"59",5,1
26327,3,2,1,2,2,1,1,813,994,813,5,1,"35",3,1
26328,1,1,1,6,6,6,1,994,994,994,5,1,"35",3,2
26329,1,1,1,6,6,6,1,813,994,813,2,1,"59",5,1
26330,3,1,2,2,2,1,1,994,994,994,3,1,"46",4,2
26331,3,2,1,2,2,1,2,711,994,711,1,1,"35",3,2
26332,1,1,1,6,6,6,1,994,994,994,1,1,"59",5,1
26333,1,1,1,6,6,6,1,994,994,994,3,2,"10",1,1
26334,1,1,1,6,6,6,1,994,994,994,6,2,"35",3,1
26335,1,1,1,6,6,6,1,994,994,994,3,1,"12",1,1
26336,1,1,1,6,6,6,1,711,994,711,6,1,"48",4,1
26337,1,1,1,6,6,6,1,994,994,994,4,1,"35",3,2
26338,7,7,7,6,6,6,7,994,994,994,6,1,"46",4,2
26339,3,2,1,2,2,1,1,994,994,994,3,1,"48",4,2
26340,1,1,1,6,6,6,1,994,994,994,5,1,"13",1,2
26341,1,1,1,6,6,6,1,994,994,994,3,1,"48",4,2
26342,1,1,1,6,6,6,1,994,994,994,5,3,"11",1,2
26343,1,1,1,6,6,6,1,994,994,994,5,1,"35",3,2
26344,3,2,1,2,2,1,1,994,994,994,6,1,"59",5,1
26345,1,1,1,6,6,6,1,994,994,994,2,2,"48",4,2
26346,1,1,1,6,6,6,1,994,994,994,6,1,"48",4,1
26347,1,1,1,6,6,6,1,994,994,994,5,1,"35",3,1
26348,1,1,1,6,6,6,1,994,994,994,2,1,"48",4,2
26349,3,1,2,1,2,2,1,994,994,994,5,1,"35",3,2
26350,3,2,1,2,1,2,2,994,994,994,1,1,"24",2,1
26351,1,1,1,6,6,6,1,994,994,994,1,1,"47",4,1
26352,1,1,1,6,6,6,1,994,994,994,3,1,"48",4,1
26353,1,1,1,6,6,6,1,994,994,994,4,2,"13",1,2
26354,1,1,1,6,6,6,1,711,609,609,1,1,"35",3,2
26355,1,1,1,6,6,6,1,994,994,994,3,1,"12",1,2
26356,3,2,1,2,2,1,1,994,994,994,4,1,"46",4,1
26357,1,1,1,6,6,6,1,994,994,994,6,1,"24",2,2
26358,1,1,1,6,6,6,1,994,994,994,6,1,"24",2,1
26359,1,1,1,6,6,6,1,994,994,994,1,1,"12",1,1
26360,3,2,1,2,2,1,1,994,994,994,6,1,"35",3,1
26361,3,2,1,1,1,2,2,994,994,994,2,1,"12",1,1
26362,1,1,1,6,6,6,1,994,994,994,2,1,"35",3,2
26363,1,1,1,6,6,6,1,994,994,994,5,1,"35",3,1
26364,1,1,1,6,6,6,1,994,994,994,6,3,"11",1,2
